job_id,study,case,repeat,order_index,method,workers,kernel_count,kernel_selection,presentation_count,presentation_set,elapsed_s,worker_slot_s,peak_process_tree_rss_mb,digest,valid_kernels,candidates,frontier,suite_size,graph_builds,graph_states,graph_transitions,observation_calls,policy_calls,transition_calls,prefix_groups,completed_at
methods-k24624-p18-r0-flat-w1,method_ladder,24624k_18p,0,0,flat,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,173.27708080000593,173.27708080000593,78.42578125,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,443232,15669990,17419104,3382177,3382177,3382177,0,2026-07-25T00:42:54.770514+08:00
methods-k24624-p18-r0-kernel_memo-w1,method_ladder,24624k_18p,0,1,kernel_memo,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,65.79172690000269,65.79172690000269,88.87109375,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,3382177,3382177,0,2026-07-25T00:44:00.948524+08:00
methods-k24624-p18-r0-factorized-w1,method_ladder,24624k_18p,0,2,factorized,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,65.52705330000026,65.52705330000026,101.40625,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T00:45:06.861007+08:00
methods-k24624-p18-r0-flat_parallel-w8,method_ladder,24624k_18p,0,3,flat_parallel,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,29.439635699993232,235.51708559994586,288.8125,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,443232,15669990,17419104,3382177,3382177,3382177,0,2026-07-25T00:45:36.766551+08:00
methods-k24624-p18-r0-kernel_memo_parallel-w8,method_ladder,24624k_18p,0,4,kernel_memo_parallel,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,11.788640300001134,94.30912240000907,286.671875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,3382177,3382177,0,2026-07-25T00:45:48.948067+08:00
methods-k24624-p18-r0-factorized-w8,method_ladder,24624k_18p,0,5,factorized,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,10.797442199997022,86.37953759997617,287.66015625,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T00:46:00.169239+08:00
methods-k24624-p18-r1-kernel_memo-w1,method_ladder,24624k_18p,1,0,kernel_memo,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,66.59751880000113,66.59751880000113,91.26171875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,3382177,3382177,0,2026-07-25T00:47:07.154016+08:00
methods-k24624-p18-r1-factorized-w1,method_ladder,24624k_18p,1,1,factorized,1,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,64.8323451000033,64.8323451000033,91.8046875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,2288074,2288074,2288074,2026-07-25T00:48:12.361812+08:00
methods-k24624-p18-r1-flat_parallel-w8,method_ladder,24624k_18p,1,2,flat_parallel,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,27.799664699996356,222.39731759997085,289.24609375,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,443232,15669990,17419104,3382177,3382177,3382177,0,2026-07-25T00:48:40.549979+08:00
methods-k24624-p18-r1-kernel_memo_parallel-w8,method_ladder,24624k_18p,1,3,kernel_memo_parallel,8,24624,complete_grid,18,view_00_exact_exact_d0|view_01_exact_exact_d1|view_02_exact_coarse_d0|view_03_exact_coarse_d1|view_04_exact_hidden_d0|view_05_exact_hidden_d1|view_06_coarse_exact_d0|view_07_coarse_exact_d1|view_08_coarse_coarse_d0|view_09_coarse_coarse_d1|view_10_coarse_hidden_d0|view_11_coarse_hidden_d1|view_12_hidden_exact_d0|view_13_hidden_exact_d1|view_14_hidden_coarse_d0|view_15_hidden_coarse_d1|view_16_hidden_hidden_d0|view_17_hidden_hidden_d1,10.938975299999584,87.51180239999667,288.44921875,a171500c18441ecbe3f8e05125a928ca5b88d5b874ee80a16d3d8e88b67fa411,10544,189792,1,1,24624,870555,967728,3382177,3382177,3382177,0,2026-07-25T00:48:51.888596+08:00
